Recommended_Calories,Recommended_Protein,Recommended_Carbs,Recommended_Fats
2613,136,359,55
3365,125,195,145
1421,119,380,99
1507,143,267,100
2211,91,341,70
1183,141,203,140
1853,119,232,81
1173,73,205,147
1018,117,105,61
1488,170,401,39
1988,72,217,42
1824,81,275,82
1701,102,230,31
878,82,109,35
2346,138,166,144
2228,156,324,146
2301,203,235,130
1374,193,209,115
1476,155,220,94
2028,98,353,51
2315,198,374,144
1900,176,219,143
1841,83,174,87
2676,65,174,99
2616,208,68,58
3272,182,307,85
1945,158,261,85
2064,71,189,109
2052,121,224,143
2500,72,171,95
2226,76,271,115
2611,150,252,127
1662,150,189,115
2522,167,203,109
2022,77,155,36
2557,197,125,109
2048,93,176,47
1449,144,203,95
1975,92,370,29
1653,80,152,83
2248,99,339,94
1081,184,156,145
2245,166,191,71
2503,96,389,145
1449,125,267,139
2116,58,218,51
1490,164,242,133
944,119,351,48
2426,184,141,46
2004,210,114,99
1780,126,91,42
1460,123,240,154
1316,54,128,87
1734,152,141,136
2293,173,145,127
2002,133,101,122
2768,49,361,67
2145,157,367,111
2249,192,79,46
2924,169,139,122
2465,81,99,96
1909,129,182,39
1923,149,215,54
2586,179,410,78
1686,53,305,72
2594,148,319,68
1797,108,248,46
2211,94,334,128
1457,90,222,129
1117,84,321,116
1923,126,353,50
2118,190,102,91
1108,115,181,109
2002,154,194,32
2339,159,288,114
2735,80,302,146
2621,61,312,76
1427,193,395,27
2557,163,392,102
2261,148,138,94
3093,95,191,129
1221,73,318,20
2110,61,267,88
1950,166,151,105
2017,181,276,53
2410,89,362,142
1165,72,264,82
1540,128,393,55
1490,80,290,67
1975,75,371,77
1869,165,335,75
1527,140,309,66
1514,162,147,58
2279,101,246,133
2324,54,232,121
2760,83,225,89
1634,179,143,124
843,164,343,102
1352,115,400,53
2515,128,231,114
1375,122,123,71
1845,75,147,109
2103,142,305,95
2781,166,123,133
1762,200,209,74
1815,134,338,63
1561,168,185,77
2074,84,221,20
831,152,166,143
2592,59,280,110
2473,105,238,151
1667,144,107,127
2981,72,245,143
2056,141,165,80
1378,130,375,67
2802,45,103,133
2626,120,200,125
1202,90,240,83
1607,192,208,21
894,72,97,84
2669,163,244,48
998,128,207,74
1138,185,148,49
2966,188,309,120
887,157,285,96
2217,64,180,48
2766,113,299,49
2906,74,357,88
1957,62,393,60
1284,164,188,98
2129,143,280,74
3023,87,227,117
3175,104,373,156
1219,116,284,63
1232,173,272,75
1588,167,227,133
786,136,284,20
2006,93,312,43
1275,203,400,78
1344,120,224,93
2045,107,140,72
2180,183,247,110
1351,170,66,111
1391,87,130,18
1967,170,217,103
1822,181,249,47
1653,101,397,49
3129,193,237,136
2378,96,335,48
3067,165,331,144
1110,186,306,68
2380,149,391,64
1285,159,308,149
1306,55,375,93
1220,99,332,122
2434,195,218,13
2376,107,363,162
1955,126,308,32
2688,162,273,123
2689,199,128,80
2445,82,216,107
2369,89,348,102
3070,85,149,105
2269,113,206,39
1330,70,195,138
2048,163,199,74
2406,57,284,95
2917,151,328,61
1479,184,126,138
1902,42,304,55
2189,211,318,164
1335,114,75,130
2971,142,163,122
2610,152,346,89
2249,182,373,36
954,119,310,108
1082,166,345,80
2590,125,367,95
2729,177,353,29
2535,55,242,49
2617,199,119,95
1524,100,148,104
1023,169,331,127
1415,197,183,123
2610,93,246,135
2691,164,287,28
3130,169,316,63
2237,123,104,14
1715,197,335,124
2284,59,357,140
2432,113,389,134
1365,196,339,109
2483,192,158,107
1203,197,322,137
1084,131,90,63
1250,191,235,40
1652,148,258,38
1297,170,103,139
2951,194,302,119
971,196,86,139
1448,196,239,28
1580,128,294,91
1920,84,209,112
2924,202,229,62
3038,142,127,41
2251,165,367,68
2559,119,129,138
2173,98,314,52
2012,160,99,124
2015,120,399,63
1301,181,317,149
1171,90,264,136
2225,138,106,51
1150,185,348,88
1111,107,336,90
2904,115,238,26
2696,196,171,115
976,186,331,42
3124,196,377,112
998,113,238,38
2062,184,318,85
1817,134,338,91
1418,60,356,133
1597,173,340,101
2166,119,112,38
932,102,108,103
2996,62,229,52
1113,81,168,162
2103,136,97,43
2335,75,400,76
3266,90,393,39
2547,117,193,45
1412,184,420,30
3176,54,402,131
1540,100,244,68
1193,155,210,141
3032,128,211,89
1820,124,199,81
2194,131,138,127
2057,196,167,142
895,196,226,161
2035,100,109,93
2016,67,138,68
2741,78,289,103
2421,173,236,44
2426,168,219,104
1000,88,111,99
1844,57,213,98
2720,86,290,143
2711,61,117,54
1266,135,315,30
1298,78,244,38
1199,129,273,101
2346,154,277,105
3042,197,101,15
3122,64,241,77
3006,135,361,79
2906,183,188,126
1486,92,193,137
2000,209,282,93
2347,86,358,57
2685,167,140,44
3019,91,271,53
1543,125,412,107
929,168,287,78
1366,149,91,99
2013,94,241,142
1309,123,153,111
1098,171,121,38
953,66,171,136
1659,143,291,91
1478,121,381,59
1630,148,232,71
2900,106,415,27
2062,73,278,102
3199,94,322,36
2804,202,301,42
2940,190,226,26
2706,152,262,121
3198,145,144,134
1885,120,214,44
2907,208,203,106
1215,70,211,100
2353,181,123,81
852,174,219,134
1663,129,298,115
1213,108,329,95
2155,133,195,81
1968,177,243,90
2963,45,224,138
963,68,211,48
2583,148,431,103
1385,145,246,159
2963,97,238,139
3080,187,276,46
2595,54,117,47
3183,101,178,107
897,176,400,104
1714,120,377,130
1915,189,147,71
1379,68,401,74
2378,154,219,114
2104,60,382,107
2541,213,216,139
1622,73,370,158
1058,100,177,163
2816,47,167,57
1407,194,179,59
794,170,167,43
2600,182,215,67
3057,58,201,61
2983,101,151,85
2935,97,130,56
1471,178,371,60
2649,119,175,84
1112,70,205,34
2385,185,222,119
2065,161,175,137
1669,106,368,79
1713,137,241,20
2332,166,237,108
3206,188,131,93
1597,175,94,134
2328,108,190,124
1771,94,125,99
2898,147,203,30
1983,52,418,153
2925,110,206,46
2699,149,273,159
1113,123,145,81
1556,86,202,136
2118,102,290,144
3047,132,191,80
2497,137,441,135
2178,96,345,101
2844,83,138,47
3091,152,153,71
2720,74,172,129
2781,135,287,124
2621,133,240,38
1283,185,280,142
2941,133,328,90
1657,164,175,67
2295,95,135,87
1888,59,401,19
2607,124,150,35
2531,140,70,38
2702,145,160,94
2766,172,335,76
2514,186,104,100
2260,99,151,134
2911,170,333,103
2197,202,150,32
3053,120,153,45
1471,74,165,120
2541,110,209,55
1060,82,190,104
1687,69,288,22
1850,165,335,153
1482,78,284,74
2105,117,228,112
2014,199,156,133
3129,95,248,86
2803,137,352,46
2082,102,354,82
845,129,326,82
1520,98,246,129
1216,90,249,51
2809,157,324,73
1490,185,111,135
1356,139,222,71
1809,121,369,112
2192,134,193,88
2879,156,191,43
2270,199,318,142
2221,96,395,79
1051,142,126,155
1791,122,266,137
1042,107,389,124
1635,113,160,85
2070,149,285,139
3151,179,222,46
993,179,221,70
1758,184,343,58
1452,177,309,25
1069,88,308,153
2748,132,333,55
2350,150,292,60
3200,145,364,146
2252,155,269,131
1914,151,248,74
2965,105,255,105
2278,121,273,136
2357,156,162,32
2683,139,150,147
1382,157,149,91
1715,175,176,65
1949,180,280,68
2562,106,368,72
2539,187,82,60
1443,84,174,128
2674,65,250,95
1752,50,280,112
937,78,236,98
2253,180,277,59
1141,188,317,36
2156,66,301,138
3003,126,152,61
1686,198,227,114
2840,142,199,55
1784,129,242,155
1066,70,143,81
2795,145,389,47
2816,189,351,38
1361,60,322,131
3372,177,417,87
1151,168,329,74
839,139,135,45
3062,58,164,102
2738,127,279,80
3070,191,291,52
1024,105,161,90
2156,130,147,69
2649,74,322,56
2471,111,299,147
1130,174,300,55
1521,164,315,107
1214,51,306,40
1207,155,228,108
1516,168,146,44
3036,85,132,43
1598,48,65,95
1452,53,260,88
1037,140,251,118
3056,83,425,138
2862,137,413,68
1363,166,133,17
1735,133,338,119
1962,137,351,156
1277,140,165,81
817,164,129,102
1087,77,203,71
1375,165,146,124
1500,69,315,137
1429,191,334,144
1141,65,343,122
2045,84,89,24
2292,110,121,85
2724,153,350,61
1145,178,286,138
1563,151,158,79
2073,166,325,48
1626,61,269,108
1716,56,138,76
1380,83,168,90
1955,104,288,55
2247,176,300,24
2857,108,140,20
2382,111,349,159
1519,111,380,61
2128,157,277,148
1860,118,273,103
2088,138,311,104
962,180,332,47
1984,161,354,39
2028,133,147,83
1406,172,69,127
1620,96,60,76
2583,142,323,102
1452,73,326,110
3062,177,249,114
2573,200,155,98
2304,126,154,146
1561,88,79,26
2242,85,270,24
1042,75,362,76
2954,95,257,131
1216,155,258,85
1962,74,232,108
1139,195,214,128
3011,122,371,40
2738,118,302,122
2044,154,292,51
2409,94,330,29
1125,147,297,98
2775,50,317,81
2281,125,325,85
1256,45,318,141
3002,72,370,142
2679,152,419,106
2429,162,352,109
798,210,261,138
2928,65,124,89
2278,188,404,84
2980,117,275,143
2916,147,265,120
2763,120,318,113
2263,139,143,120
1875,76,149,36
1383,81,284,66
1812,162,117,131
2013,103,148,58
878,85,248,94
2575,135,156,133
1883,163,196,42
946,107,163,159
2073,93,368,108
1772,174,111,112
1019,88,321,107
2763,110,327,125
1583,70,297,113
2672,91,206,122
1783,115,204,140
1663,113,208,50
2075,170,254,65
1614,178,198,87
1217,117,193,83
2448,86,96,131
2247,158,362,78
1964,86,145,120
3063,193,140,67
1783,103,162,108
1752,190,297,133
2884,58,239,24
3139,108,306,95
1123,188,286,71
2743,179,266,138
1198,99,113,84
3253,154,284,42
3083,76,382,108
1654,169,231,77
2528,93,346,90
1615,186,399,108
2335,88,372,50
2458,175,182,87
3094,88,338,131
1380,198,405,67
2492,62,268,152
2649,202,128,93
1502,165,397,90
2626,115,239,78
1087,63,230,117
2093,153,270,131
1420,139,237,128
2417,196,327,92
1569,203,169,63
2938,87,336,150
1413,79,105,105
1732,171,366,134
2086,191,199,120
3215,178,356,85
2212,196,277,89
1833,86,212,120
1968,109,198,90
2034,143,320,130
2127,181,292,127
1912,90,255,25
2388,167,164,88
2932,77,320,130
2009,188,82,129
2895,75,157,52
1697,131,151,25
1138,81,145,123
2781,142,244,41
1581,78,172,44
1815,190,162,71
2783,75,441,48
1885,198,311,112
1823,114,277,33
2307,116,235,48
1370,185,327,126
1375,155,288,47
1752,142,195,51
2892,141,310,146
1373,71,280,90
1072,169,265,144
1334,90,392,73
1686,93,356,26
2957,95,128,139
1536,76,61,62
2036,150,242,88
1162,176,219,121
1603,77,318,92
2824,169,261,72
2549,91,364,97
2524,192,243,73
2871,149,240,59
2221,157,389,85
1399,78,138,119
2573,186,224,141
1929,105,179,61
2580,190,234,49
2712,218,126,71
2375,193,391,32
2684,48,200,107
1999,140,346,71
2913,138,79,33
1987,105,360,105
1862,125,198,93
2623,150,200,112
1240,162,329,77
2538,152,212,122
2704,148,217,74
3118,96,198,88
2077,187,130,87
2333,57,303,147
1390,80,193,147
2261,104,226,70
2760,140,222,67
1629,156,398,137
2608,95,52,105
2115,110,320,82
2760,82,193,118
1954,182,272,30
1120,199,328,146
2641,152,299,133
2454,93,219,71
1942,195,316,147
3134,171,376,102
1941,127,154,112
1109,86,305,126
2137,134,88,91
1481,62,172,145
1293,77,331,117
1975,128,206,133
2745,130,216,150
2220,60,337,142
2566,202,212,120
2122,158,200,51
1457,162,174,135
1879,107,289,119
941,203,385,151
2202,136,347,128
1605,175,163,94
1497,180,148,57
2288,177,333,80
3044,114,81,85
2359,151,311,93
2547,90,295,16
1649,171,329,64
2774,196,322,110
1705,64,306,42
1049,72,219,36
2737,174,105,79
1702,113,332,45
2563,68,82,45
1239,115,306,92
2063,100,312,87
1538,74,338,71
2119,102,171,53
1391,102,131,51
1167,70,382,105
1476,192,206,39
2978,162,307,134
2498,207,282,32
3041,82,153,120
1696,53,345,25
3050,129,277,148
2854,127,121,84
2984,142,402,139
1543,138,384,48
1478,168,353,120
1395,104,207,45
2128,122,204,107
1197,78,326,97
2330,125,166,109
932,74,197,150
853,151,366,90
2521,147,145,73
3147,149,290,113
1938,147,160,100
1232,180,305,125
2786,191,305,82
1170,131,267,30
2658,63,214,139
1853,150,345,37
2964,107,300,104
1390,69,194,138
1232,163,296,145
2697,53,157,40
2628,87,380,76
1984,95,114,94
921,113,395,54
2003,62,404,86
3043,130,197,110
1878,137,177,33
777,159,137,66
3345,146,332,127
3243,154,159,134
2676,109,438,91
1832,159,231,134
1832,148,293,50
1730,164,194,63
2861,111,225,49
2141,156,120,42
1508,127,218,89
3020,132,254,71
2784,118,236,51
1827,213,260,94
1031,52,208,132
1357,126,74,139
964,132,283,130
882,189,189,134
2792,137,255,24
1527,74,266,80
2064,118,290,96
1132,178,221,76
2501,78,195,62
1572,200,329,73
2750,190,380,132
2207,46,266,66
3167,95,345,17
1295,157,185,113
2160,66,349,117
1830,100,360,157
1535,95,111,114
1103,148,252,69
2479,90,153,130
2155,169,245,143
1671,74,164,47
1473,117,320,65
1220,134,240,35
1155,132,382,69
970,172,241,84
2830,192,200,98
2848,98,398,137
2496,153,183,36
1982,163,254,117
1088,126,109,110
1737,149,211,111
966,119,351,68
2015,100,298,47
2915,140,279,92
1245,73,209,22
2647,53,294,22
1429,145,304,70
1467,129,310,79
1742,51,342,92
2512,100,344,78
2218,175,381,156
1088,93,151,101
1769,196,134,118
2789,117,202,76
2189,208,177,38
1741,79,139,154
2525,135,347,101
1793,71,169,41
1885,59,404,76
1514,145,101,32
2502,140,158,64
2679,186,349,137
2108,206,395,14
2465,126,173,92
1236,125,263,89
2151,121,175,129
1967,110,300,36
1760,71,322,92
1980,165,285,80
842,45,156,121
1370,149,105,110
2786,80,377,61
1372,199,440,141
2141,94,330,36
1132,112,263,31
1851,166,167,45
2919,162,233,49
1847,143,334,146
3054,112,399,69
1720,163,402,68
1881,192,359,94
2333,201,350,115
2439,195,138,32
1922,55,366,75
1236,165,138,117
2571,197,96,48
1685,124,343,62
2112,114,405,37
2280,206,337,47
1835,181,206,57
1533,187,398,59
2828,166,196,99
2367,70,192,139
1771,80,131,61
1701,157,57,60
978,207,351,89
1111,213,356,38
2352,86,136,60
2558,126,245,108
2235,58,203,149
3021,178,348,118
1554,102,339,91
2046,170,286,105
3076,86,82,138
1410,55,355,51
948,132,344,149
1344,182,169,65
1674,169,250,137
1072,98,145,31
1960,58,118,70
2068,119,173,82
2509,146,198,109
1801,120,189,156
2954,200,65,108
3087,110,100,27
2742,182,254,33
2855,75,235,50
3183,210,277,80
2226,159,89,144
2508,103,206,63
1336,176,91,59
2022,136,242,41
1647,190,62,55
3273,133,293,116
1671,107,249,57
1371,83,314,67
2690,76,186,78
2808,144,131,73
828,130,350,113
2181,48,284,127
1334,161,165,87
2343,143,126,25
3085,87,171,57
1755,104,378,65
3183,181,237,84
1160,156,191,40
1155,120,310,102
1945,111,103,61
2315,111,269,52
2724,82,195,81
1268,117,71,98
2122,209,380,135
1937,91,353,105
2819,125,126,72
1062,206,282,121
3273,68,368,146
2612,96,235,120
1636,183,280,72
2055,76,354,41
1779,168,164,98
2554,93,117,116
2949,171,222,70
2101,149,409,62
1895,104,323,41
2378,122,151,50
2071,142,335,89
1800,170,138,158
1541,188,167,155
3078,67,193,71
3213,125,250,127
1988,107,120,28
3029,97,362,117
1462,131,321,37
2779,167,98,36
2656,126,147,83
2775,99,369,52
1099,132,221,122
1698,141,195,140
3200,51,228,148
2211,162,104,89
2552,112,339,54
2013,187,390,141
2114,126,343,48
1686,110,132,118
3145,89,102,98
2315,125,299,38
1553,185,154,38
2926,175,300,126
2601,118,367,107
1623,68,205,81
2943,92,92,77
3230,145,210,73
1279,107,198,152
1118,123,142,104
3013,137,204,112
2691,129,243,105
1191,149,168,115
1254,194,124,92
1579,170,149,51
1965,51,296,88
3142,187,159,106
1886,185,368,127
2497,103,178,81
1685,135,144,139
2052,152,118,91
1656,213,160,147
2124,145,184,142
2882,98,351,164
1912,51,142,77
1884,44,266,91
3101,161,394,50
3142,61,343,115
3170,101,138,127
2231,181,155,155
1922,57,226,76
793,91,315,83
1547,120,148,46
2233,111,90,93
1433,139,196,121
1937,92,130,86
2228,63,126,71
2429,95,366,60
1383,174,413,102
929,173,175,121
1008,194,248,33
2077,180,144,143
1046,163,229,105
3360,81,397,136
1950,185,196,35
1528,164,308,126
2879,71,102,35
2798,109,169,48
3205,94,239,75
1093,209,229,90
2849,61,288,105
1099,81,136,27
2259,209,133,155
2950,53,261,20
1238,75,115,109
2405,88,329,150
1982,111,349,139
2323,92,243,103
1428,174,148,105
1696,174,114,100
2068,193,275,99
1223,69,251,61
2718,180,357,148
1107,203,200,107
3261,93,243,22
2663,164,273,67
1113,132,310,121
2872,132,326,71
2376,133,261,132
2900,173,195,136
2982,139,63,62
2235,123,218,114
1704,175,338,128
2890,207,219,14
2873,132,295,142
3098,107,268,133
1075,103,339,113
2965,61,350,91
945,72,149,133
2066,164,157,137
2368,102,248,55
2432,71,203,63
1091,132,236,150
1027,163,255,40
2384,62,152,153
1774,84,301,93
2261,144,160,145
2216,141,362,65
2325,75,417,152
2133,91,275,37
918,144,256,74
2627,202,84,148
1542,107,221,92
2931,65,180,32
1001,142,299,113
984,81,126,84
1357,199,166,12
1565,188,318,163
2376,132,331,50
2447,164,380,69
2088,103,338,21
1278,101,260,146
1745,127,149,45
1220,184,281,112
2720,194,130,81
1740,188,349,65
2230,92,257,84
2611,203,351,23
1980,192,305,46
1584,87,248,92
1969,116,181,150
1775,144,169,66
2075,123,359,108
1543,95,203,120
2599,127,230,87
2366,69,134,127
2861,110,190,78
1737,113,185,149
978,97,357,60
1583,104,205,134
1972,90,162,124
2718,176,197,57
1629,71,294,133
1033,139,279,94
2111,59,218,39
2749,200,276,104
1235,104,363,74
3210,85,287,164
2789,162,141,93
1050,121,334,92
2788,141,145,80
1414,93,97,148
1545,65,226,49
1298,143,213,131
1451,109,286,112
2359,180,145,143
2090,113,187,49
2883,126,412,27
1235,190,134,49
1684,104,292,145
1840,112,296,20
1768,76,263,32
2174,186,112,45
1776,94,126,60
3126,73,107,82
1782,118,363,125
1032,53,204,65
2085,68,219,73
3060,167,180,140
2638,89,282,83
2106,138,206,135
1977,176,119,27
2924,60,184,67
2542,148,293,100
2163,162,199,140
1140,93,224,109
2695,144,326,25
1326,197,404,92
2798,156,214,66
1771,136,380,107
2023,46,320,20
2288,90,148,123
2132,68,313,51
2326,59,322,50
3105,155,109,111
1010,123,175,43
2763,85,307,47
1488,118,214,24
1712,117,173,157
2463,136,307,90
797,98,181,103
1582,104,246,82
1950,182,220,45
1786,76,117,21
1064,173,142,105
1442,108,213,158
1798,133,272,119
2948,163,271,148
3004,56,342,99
3296,112,85,37
1078,196,136,84
2967,142,206,54
2021,84,233,62
2651,48,369,51
992,126,254,64
2221,172,295,114
1646,196,329,82
2193,140,441,89
1597,147,306,112
1224,159,134,122
1931,106,305,69
2638,172,365,140
2702,78,226,140
1613,127,370,111
2734,158,363,118
1971,88,294,141
2340,174,166,140
2824,54,366,52
1257,70,220,81
2012,199,181,91
2218,49,196,143
1217,214,264,60
2349,115,242,146
2982,108,401,14
1692,143,342,24
1852,134,150,129
2853,214,253,86
1837,121,205,125
2281,120,228,117
1098,95,276,111
2444,90,150,60
2751,136,378,75
2588,158,328,71
1463,118,243,12
1700,102,178,146
3286,77,176,147
1936,203,299,105
2246,90,381,138
1135,135,152,148
2639,117,264,95
1386,85,215,105
932,177,336,115
2510,147,156,56
2408,77,332,63
2981,115,139,47
1823,105,127,95
2566,140,111,23
987,103,156,161
1247,72,306,91
1686,79,386,107
1054,92,426,150
2940,87,373,105
1115,97,221,153
2903,204,281,109
1052,103,350,54
2185,164,177,63
982,171,341,144
2852,70,148,122
1628,84,261,96
2705,93,384,90
2043,206,257,108
3114,159,63,139
3156,142,287,16
2989,200,252,140
1619,98,383,82
1668,84,323,80
1691,138,327,158
2807,63,144,18
2328,203,159,110
2071,70,294,116
1544,197,168,39
1651,126,276,91
2729,126,264,64
1409,197,119,36
2318,73,328,67
1272,131,62,93
2207,159,424,89
1642,80,325,92
1081,153,292,114
1697,89,387,150
3143,204,243,100
1895,101,215,92
2550,169,208,27
2187,105,171,80
2690,147,202,44
1915,47,399,119
3042,48,153,56
2778,109,152,28
1299,196,172,134
3256,102,278,39
1631,103,234,96
2843,65,365,129
1019,171,162,152
2608,77,334,148
1352,113,76,153
1754,135,433,35
1084,84,366,126
873,107,360,118
2213,179,385,116
1962,212,81,67
1805,77,254,40
1420,76,228,87
2929,170,192,52
2803,97,280,112
1665,89,141,112
2614,176,282,62
2275,100,180,75
1765,199,373,105
1627,88,219,96
2873,188,165,40
1996,131,392,46
2761,63,261,134
1504,92,138,53
1423,64,143,102
1504,73,381,39
1960,146,405,53
2285,166,147,103
1063,88,349,98
2747,147,356,59
2949,70,149,47
2660,145,362,37
847,190,263,52
2099,63,266,98
1088,196,342,62
1372,106,249,77
2487,74,145,97
2597,203,271,133
1237,141,271,32
2635,93,393,102
3370,145,122,155
2363,124,252,58
1472,124,335,44
2865,185,104,32
2044,157,336,87
1218,178,251,74
3074,77,347,79
2134,103,184,94
1887,71,135,113
1650,69,327,40
1796,158,255,113
2290,125,211,59
1755,156,254,110
1784,149,97,151
2331,204,293,39
3021,94,357,155
1207,100,291,105
2397,121,103,64
1708,65,350,108
2889,67,313,109
1269,110,315,146
2044,191,280,83
2783,194,237,85
817,140,385,143
1446,78,359,119
1326,111,350,134
2619,107,271,129
1083,168,165,74
1231,88,258,136
2558,97,201,74
1083,84,328,141
1179,81,59,123
1721,202,288,101
1947,96,138,98
1189,153,109,34
1721,141,161,105
958,132,214,72
1367,67,142,59
2490,115,232,67
1204,79,311,117
1544,67,365,95
2120,81,295,114
1155,67,360,139
2677,134,315,101
2033,79,169,53
1642,89,132,113
2085,77,228,24
1223,164,247,118
2071,62,290,97
2810,175,421,95
2772,143,139,38
2030,54,339,76
1705,168,301,35
2982,178,125,41
1142,201,376,141
1624,149,235,136
1370,149,347,132
2952,118,259,94
2290,154,205,54
2805,70,247,161
1804,100,174,123
1320,93,190,51
3115,144,188,79
2049,161,361,79
2475,168,184,35
2172,110,412,41
1762,114,356,120
1785,111,346,27
1561,213,353,107
2170,136,147,81
3133,129,433,118
1945,174,132,63
2109,187,235,88
1217,79,316,84
2303,89,198,55
2888,58,325,28
3108,86,126,118
1788,203,90,46
3145,116,147,153
2437,129,255,134
3188,111,202,100
1622,108,175,71
2106,157,257,148
1383,77,312,107
2637,192,211,37
1703,152,334,44
1634,108,196,90
2641,76,142,86
2909,161,384,50
2596,82,102,158
1592,47,264,81
1061,108,342,67
2218,78,407,131
1477,137,291,67
1941,70,236,123
1079,182,382,53
1778,178,193,154
2603,106,326,37
1901,148,167,91
729,213,93,62
1284,64,312,42
1856,125,352,37
1572,129,274,91
2970,159,152,106
2065,119,284,43
1849,136,67,39
1360,118,333,112
2052,90,352,83
2587,128,360,24
960,99,235,30
2096,157,87,80
2884,51,337,57
3124,168,259,119
1747,102,362,43
1424,136,205,158
2754,66,196,90
1124,200,261,64
2935,156,225,68
1537,130,136,103
1732,62,228,38
1750,66,174,23
2613,182,119,140
2690,183,394,80
951,181,163,70
1690,173,117,35
2648,133,121,160
781,180,323,135
2270,65,139,104
1169,73,188,73
1271,103,314,16
1743,194,389,46
1110,99,394,49
2231,204,251,106
2996,139,164,102
1501,155,325,34
1641,136,286,132
2582,142,185,103
2991,166,229,75
2239,68,132,41
3078,77,408,44
2734,68,243,120
3205,166,168,40
1221,202,207,130
2345,181,137,113
814,55,118,33
2388,72,207,136
1726,62,249,104
1534,168,294,114
3136,88,436,137
1782,202,264,103
2912,165,219,117
1152,167,371,85
1426,142,275,93
1663,75,217,59
3083,163,257,91
2556,110,152,56
2632,164,228,114
2610,191,244,139
2705,41,167,41
2249,181,319,120
1103,162,222,113
1869,139,131,109
1409,103,312,36
3034,112,87,47
1907,210,338,138
1726,175,156,87
1217,68,174,72
1830,202,213,42
1415,58,251,26
3053,52,193,112
3039,160,187,93
2694,181,170,127
3161,117,375,98
2558,105,278,135
2709,117,305,57
1083,91,363,95
3183,57,263,65
1919,107,66,67
932,102,224,90
1141,163,274,154
2951,115,298,40
1787,66,300,147
1465,50,269,60
3097,203,279,36
2599,122,344,23
2939,62,375,150
2636,201,385,40
2841,65,305,130
2596,130,142,95
2826,68,239,48
2378,180,238,111
2836,142,276,111
2603,193,368,58
1138,107,338,28
1992,47,178,137
1841,79,135,151
2489,158,381,135
2237,152,379,48
838,81,160,64
1467,104,159,75
912,71,199,35
1782,174,336,58
1051,98,359,104
1435,125,140,84
1214,154,125,94
1139,183,132,115
3063,181,159,108
1074,136,59,109
2008,120,207,93
1747,101,126,106
1874,144,308,87
806,63,230,143
952,88,266,150
1827,62,194,96
1660,92,407,156
1160,120,159,126
2529,70,357,105
1462,160,403,47
1136,61,176,63
2169,64,346,28
1034,169,245,155
2303,168,120,125
2527,101,129,163
1447,105,328,114
2676,115,250,93
846,150,374,126
2163,90,194,144
1317,115,306,49
1494,115,386,55
3036,132,243,60
3055,108,274,87
2895,192,177,99
2095,102,212,13
2146,136,271,158
2434,87,239,121
2188,170,255,87
2884,95,182,92
3055,65,258,87
2050,158,133,89
2832,69,219,63
1548,101,315,141
1645,61,274,91
2734,199,282,71
1721,186,312,104
1756,140,411,65
2670,46,233,152
1710,76,302,97
1639,108,166,151
1929,112,91,48
2274,67,73,40
2114,121,327,105
3131,177,121,99
1164,190,141,31
2028,113,173,70
1071,152,189,108
1390,171,252,103
1560,160,298,87
3038,47,221,40
3081,143,385,64
2988,161,256,41
1431,148,326,124
1880,194,90,146
725,103,237,63
2081,68,187,78
1784,74,268,159
3209,120,158,129
946,92,371,142
1755,79,394,21
2020,123,373,25
2273,162,193,80
2514,186,191,95
1377,123,302,55
2736,190,147,47
2515,76,166,150
3096,178,330,79
3183,203,285,93
1655,112,404,84
3354,146,237,79
1198,182,224,41
2319,187,398,42
1364,101,310,133
1627,135,156,62
3078,201,178,90
2040,195,258,111
1431,143,267,125
2583,123,385,131
1832,52,184,124
2275,89,188,77
1155,191,197,41
3143,129,110,130
1823,145,141,36
1697,114,405,123
2560,164,264,150
2092,202,354,138
2013,172,349,38
1284,82,214,116
2198,178,385,99
3038,164,353,98
2004,118,179,86
1060,198,88,35
1217,103,118,133
2983,169,222,117
1126,127,290,86
2705,148,329,56
1424,136,149,73
1522,148,199,98
1939,171,135,106
1816,82,307,37
2234,123,351,50
1266,137,411,35
2539,194,290,158
1063,69,120,54
2382,146,365,74
1271,99,132,29
2945,165,393,64
1706,69,155,44
2094,55,205,120
2202,72,109,72
3129,88,296,15
2840,147,139,39
2721,127,308,36
3020,89,286,154
2812,197,169,99
3160,202,408,49
1496,129,155,127
2907,109,204,95
1635,78,379,111
2210,117,421,72
1133,190,95,43
2077,60,209,116
879,65,374,134
2781,115,183,128
1684,169,281,130
1414,160,208,79
2054,201,355,51
1783,66,348,34
2687,81,218,142
2538,148,82,42
2728,125,116,65
3338,130,129,74
2271,168,258,29
2347,89,378,28
1964,75,258,87
780,97,327,58
1456,117,274,154
1750,75,304,106
1451,138,234,108
2331,113,146,75
2907,150,181,145
1666,183,353,60
1797,142,415,116
1067,114,80,143
2765,60,180,146
1408,86,418,19
1764,66,203,110
3173,100,361,147
1168,176,140,52
1397,192,142,138
2694,136,317,32
2730,190,371,113
1938,111,302,61
2852,180,77,110
2100,190,399,58
2744,77,232,121
2525,80,399,66
2283,124,346,123
2441,79,176,88
1127,80,393,141
2902,191,370,92
1712,137,273,137
2775,72,347,121
1201,103,211,80
1688,178,278,42
1865,137,298,96
2198,171,310,62
1935,148,89,50
920,129,224,106
2093,143,295,144
1093,81,140,105
2148,114,228,42
2435,130,312,50
2413,152,342,107
1549,128,366,68
897,150,279,106
2881,133,285,70
1428,114,233,48
2275,129,299,148
